file,duration,strategy,transforms,versions
02050202.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02050417.mseed,81.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02050449.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02050853.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02051541.mseed,92.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02060116.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02060321.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02060405.mseed,85.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02060406.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02060426.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02061029.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02061220.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02061439.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02071007.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02072236.mseed,82.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02072258.mseed,84.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02080142.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02080145.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02080330.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02080829.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02080956.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02081212.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02081510.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02081610.mseed,94.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02081833.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02091156.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02091344.mseed,82.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02091807.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02100028.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02100413.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02101028.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02101109.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02101352.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02101357.mseed,81.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02101419.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02101739.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02101958.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02110501.mseed,81.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02110556.mseed,88.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02110648.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02110758.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02110804.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02111348.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02112000.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02112215.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02120429.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02120434.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02121028.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02121130.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02121253.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02121415.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02121652.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02121743.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02121745.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02121831.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02122047.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02130442.mseed,79.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02130756.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02130901.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02131016.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02131740.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02140345.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02141441.mseed,82.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02151217.mseed,83.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02151633.mseed,82.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02152022.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02160408.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02160620.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02161200.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02161812.mseed,92.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02161850.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02161852.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02161857.mseed,58.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02161909.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02161910.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02161911.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02170044.mseed,93.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02172122.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02180520.mseed,88.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02180531.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02180611.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02180836.mseed,81.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02180838.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02181049.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02181522.mseed,93.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02182208.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02182211.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02190446.mseed,82.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02190847.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02191032.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02191213.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02191231.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02191500.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02191518.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
