file,real_time,predicted_time,error,abs_error
05080733.mseed,30.700000047683716,31.81834,1.118340253829956,1.118340253829956
02131726.mseed,31.0,29.933657,-1.0663433074951172,1.0663433074951172
05032132.mseed,31.0,30.026957,-0.9730434417724609,0.9730434417724609
11282204.mseed,30.40000009536743,29.494867,-0.9051327705383301,0.9051327705383301
02271712.mseed,30.09999990463257,30.985744,0.885744571685791,0.885744571685791
05151723.mseed,30.799999952316284,29.987114,-0.8128859996795654,0.8128859996795654
09270313.mseed,30.40000009536743,29.595589,-0.8044114112854004,0.8044114112854004
01071811.mseed,30.40000009536743,31.198025,0.7980246543884277,0.7980246543884277
01181516.mseed,30.90000009536743,30.105583,-0.7944169044494629,0.7944169044494629
03181052.mseed,30.40000009536743,31.094238,0.6942381858825684,0.6942381858825684
01211141.mseed,30.40000009536743,31.069672,0.6696715354919434,0.6696715354919434
10100125.mseed,30.59999990463257,29.954788,-0.6452116966247559,0.6452116966247559
04302038.mseed,31.0,30.354836,-0.6451644897460938,0.6451644897460938
10011529.mseed,30.0,30.62093,0.6209297180175781,0.6209297180175781
05200146.mseed,31.0,30.39109,-0.6089096069335938,0.6089096069335938
02221900.mseed,30.90000009536743,30.294537,-0.6054635047912598,0.6054635047912598
05010259.mseed,31.0,30.399979,-0.6000213623046875,0.6000213623046875
10230523.mseed,30.40000009536743,30.990154,0.5901541709899902,0.5901541709899902
02190549.mseed,31.0,30.410227,-0.5897731781005859,0.5897731781005859
08121724.mseed,31.0,30.411327,-0.5886726379394531,0.5886726379394531
01290255.mseed,31.0,30.41956,-0.5804405212402344,0.5804405212402344
12291528.mseed,30.0,30.57745,0.5774497985839844,0.5774497985839844
10190049.mseed,30.90000009536743,30.325584,-0.5744156837463379,0.5744156837463379
09181951.mseed,30.90000009536743,30.326187,-0.5738129615783691,0.5738129615783691
04260746.mseed,31.0,30.428411,-0.5715885162353516,0.5715885162353516
01200550.mseed,30.40000009536743,29.829647,-0.5703530311584473,0.5703530311584473
02111949.mseed,30.799999952316284,30.232216,-0.5677840709686279,0.5677840709686279
04301542.mseed,30.700000047683716,30.132877,-0.5671226978302002,0.5671226978302002
01212156.mseed,31.0,30.435696,-0.5643043518066406,0.5643043518066406
05120513.mseed,30.0,30.562511,0.5625114440917969,0.5625114440917969
12210817.mseed,30.799999952316284,30.237707,-0.5622928142547607,0.5622928142547607
07310604.mseed,31.0,30.442951,-0.5570487976074219,0.5570487976074219
05072055.mseed,31.0,30.443062,-0.5569381713867188,0.5569381713867188
12061924.mseed,30.90000009536743,30.347279,-0.5527215003967285,0.5527215003967285
05130454.mseed,31.0,30.447506,-0.5524940490722656,0.5524940490722656
02250407.mseed,30.299999952316284,30.847672,0.5476715564727783,0.5476715564727783
05041548.mseed,30.0,30.547298,0.5472984313964844,0.5472984313964844
11061713.mseed,30.90000009536743,30.35432,-0.5456795692443848,0.5456795692443848
02271546.mseed,31.0,30.457512,-0.5424880981445312,0.5424880981445312
08301456.mseed,30.09999990463257,30.639742,0.5397419929504395,0.5397419929504395
11242030.mseed,31.0,30.462261,-0.5377388000488281,0.5377388000488281
